Dossier de Prêt;Solde du Compte Courant;Durée du Prêt;Remboursement des Prêts Antérieurs;Objectif du Prêt;Montant du Prêt;Valeur de l'Épargne;Ancienneté chez l'Employeur Actuel;Endettement en % du Revenu Disponible;Statut Marital;Sexe;Ancienneté dans le Ménage Actuel;Actifs les Plus Importants;Age;Autres Prêts en Cours;Type de Logement;Nombre de Prêts Antérieurs dans cette Banque;Occupation;Ensemble
bon;<= 300€;30;remboursement intégral;mobilier;5 118,40 €;>1400;> 8 ans;< 15;célibataire;Homme;>8 ans;véhicule;47;grand magasin;locataire;02-avr;sans expérience avec domicile fixe;Apprentissage
bon;>300€;21;aucun prêt antérieur;réorientation professionnelle;2 200,80 €;700-1400;> 8 ans;< 15;divorcé/séparé/marié;Femme;>8 ans;aucun actif;34;banques concurrentes;locataire;1;sans expérience avec domicile fixe;Test
bon;négligeable;12;aucun prêt antérieur;vacances;1 055,60 €;>1400;> 8 ans;< 15;célibataire;Homme;>8 ans;véhicule;36;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Apprentissage
mauvais;pas de compte courant;33;remboursement intégral;véhicule d'occasion;5 993,40 €;140-700;1-5 ans;> 35;divorcé/séparé/marié;Femme;>8 ans;assurance vie;21;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Test
mauvais;pas de compte courant;24;comptes courants à problèmes;réorientation professionnelle;4 425,40 €;pas d'épargne;1-5 ans;< 15;célibataire;Homme;1-5 ans;véhicule;29;banques concurrentes;à titre gracieux;1;salarié expérimenté;Apprentissage
bon;>300€;36;remboursement intégral;autre;9 259,60 €;pas d'épargne;> 8 ans;< 15;célibataire;Homme;>8 ans;assurance vie;32;pas d'autres prêts en cours;locataire;02-avr;cadre/profession libérale;Apprentissage
bon;pas de compte courant;6;remboursement intégral;autre;852,60 €;pas d'épargne;5-8 ans;< 15;divorcé/séparé/marié;Femme;5-8 ans;véhicule;35;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Apprentissage
bon;>300€;6;remboursement intégral;mobilier;1 731,80 €;<140;1-5 ans;> 35;divorcé/séparé/marié;Femme;< 1 an;véhicule;25;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Apprentissage
mauvais;pas de compte courant;12;comptes courants à problèmes;mobilier;876,40 €;pas d'épargne;1-5 ans;< 15;divorcé/séparé/marié;Femme;>8 ans;aucun actif;22;banques concurrentes;locataire;1;sans expérience avec domicile fixe;Apprentissage
bon;négligeable;15;aucun prêt antérieur;électroménager;3 683,40 €;<140;1-5 ans;15- 25;divorcé/séparé/marié;Femme;1-5 ans;aucun actif;23;pas d'autres prêts en cours;locataire;1;sans expérience avec domicile fixe;Apprentissage
bon;pas de compte courant;6;aucun prêt antérieur;autre;1 923,60 €;>1400;sans emploi;< 15;divorcé/séparé/marié;Femme;5-8 ans;véhicule;73;pas d'autres prêts en cours;locataire;1;cadre/profession libérale;Test
bon;>300€;6;aucun problème avec les prêts antérieurs;mobilier;1 309,00 €;pas d'épargne;1-5 ans;15- 25;divorcé/séparé/marié;Femme;1-5 ans;aucun actif;22;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Test
bon;>300€;18;aucun prêt antérieur;réorientation professionnelle;2 195,20 €;<140;1-5 ans;15- 25;divorcé/séparé/marié;Femme;>8 ans;véhicule;22;pas d'autres prêts en cours;à titre gracieux;1;sans expérience avec domicile fixe;Apprentissage
bon;pas de compte courant;12;aucun prêt antérieur;véhicule d'occasion;3 609,20 €;pas d'épargne;sans emploi;15- 25;divorcé/séparé/marié;Femme;>8 ans;propriétaire d'un logement/terrain;53;pas d'autres prêts en cours;propriétaire;1;cadre/profession libérale;Test
mauvais;pas de compte courant;18;aucun prêt antérieur;télévision;1 703,80 €;pas d'épargne;1-5 ans;< 15;marié/veuf;Homme;5-8 ans;aucun actif;45;pas d'autres prêts en cours;locataire;1;sans expérience avec domicile fixe;Apprentissage
bon;pas de compte courant;12;aucun problème avec les prêts antérieurs;autre;1 881,60 €;pas d'épargne;1-5 ans;< 15;célibataire;Homme;1-5 ans;aucun actif;41;pas d'autres prêts en cours;locataire;02-avr;sans expérience avec domicile fixe;Apprentissage
mauvais;<= 300€;18;aucun prêt antérieur;véhicule d'occasion;4 009,60 €;pas d'épargne;1-5 ans;25-35;célibataire;Homme;< 1 an;aucun actif;32;pas d'autres prêts en cours;locataire;1;sans expérience avec domicile fixe;Apprentissage
mauvais;négligeable;72;aucun prêt antérieur;mobilier;7 833,00 €;<140;1-5 ans;25-35;marié/veuf;Homme;1-5 ans;assurance vie;22;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Test
bon;négligeable;12;remboursement intégral;mobilier;5 002,20 €;pas d'épargne;1-5 ans;> 35;divorcé/séparé/marié;Femme;< 1 an;aucun actif;21;pas d'autres prêts en cours;locataire;1;sans expérience avec domicile fixe;Apprentissage
bon;>300€;24;aucun prêt antérieur;véhicule neuf;8 838,20 €;>1400;> 8 ans;15- 25;célibataire;Homme;>8 ans;assurance vie;39;pas d'autres prêts en cours;locataire;1;cadre/profession libérale;Apprentissage
mauvais;pas de compte courant;12;remboursement intégral;autre;6 780,20 €;pas d'épargne;> 8 ans;15- 25;célibataire;Homme;>8 ans;véhicule;41;pas d'autres prêts en cours;à titre gracieux;02-avr;salarié expérimenté;Apprentissage
bon;>300€;5;aucun prêt antérieur;réorientation professionnelle;4 827,20 €;pas d'épargne;5-8 ans;> 35;célibataire;Homme;>8 ans;aucun actif;72;pas d'autres prêts en cours;locataire;1;sans expérience avec domicile fixe;Apprentissage
bon;>300€;9;aucun prêt antérieur;autre;5 007,80 €;<140;1-5 ans;> 35;célibataire;Homme;1-5 ans;aucun actif;24;pas d'autres prêts en cours;à titre gracieux;1;salarié expérimenté;Apprentissage
bon;>300€;24;remboursement intégral;réparations;2 235,80 €;pas d'épargne;> 8 ans;< 15;célibataire;Homme;>8 ans;propriétaire d'un logement/terrain;52;pas d'autres prêts en cours;propriétaire;02-avr;salarié expérimenté;Apprentissage
bon;négligeable;9;aucun prêt antérieur;autre;2 168,60 €;>1400;<1 an;< 15;célibataire;Homme;1-5 ans;aucun actif;33;pas d'autres prêts en cours;locataire;1;sans expérience et sans domicile fixe;Apprentissage
bon;négligeable;48;comptes courants à problèmes;réorientation professionnelle;4 992,40 €;<140;5-8 ans;< 15;célibataire;Homme;1-5 ans;assurance vie;28;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
bon;pas de compte courant;36;remboursement intégral;véhicule d'occasion;3 287,20 €;pas d'épargne;1-5 ans;15- 25;marié/veuf;Homme;1-5 ans;véhicule;44;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Apprentissage
bon;négligeable;60;aucun problème avec les prêts antérieurs;mobilier;12 819,80 €;>1400;1-5 ans;25-35;célibataire;Homme;1-5 ans;propriétaire d'un logement/terrain;25;pas d'autres prêts en cours;propriétaire;1;cadre/profession libérale;Apprentissage
bon;pas de compte courant;39;remboursement intégral;véhicule d'occasion;19 850,60 €;>1400;5-8 ans;< 15;célibataire;Homme;>8 ans;véhicule;28;pas d'autres prêts en cours;locataire;02-avr;cadre/profession libérale;Test
bon;>300€;6;aucun prêt antérieur;mobilier;2 951,20 €;pas d'épargne;5-8 ans;25-35;marié/veuf;Homme;1-5 ans;aucun actif;27;pas d'autres prêts en cours;à titre gracieux;1;salarié expérimenté;Apprentissage
bon;>300€;24;aucun prêt antérieur;mobilier;4 347,00 €;>1400;<1 an;< 15;célibataire;Homme;1-5 ans;assurance vie;23;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Apprentissage
bon;>300€;9;aucun prêt antérieur;télévision;1 730,40 €;pas d'épargne;<1 an;> 35;divorcé/séparé/marié;Femme;>8 ans;aucun actif;21;pas d'autres prêts en cours;à titre gracieux;1;salarié expérimenté;Apprentissage
bon;pas de compte courant;36;aucun prêt antérieur;véhicule d'occasion;5 542,60 €;pas d'épargne;sans emploi;< 15;célibataire;Homme;5-8 ans;véhicule;28;pas d'autres prêts en cours;locataire;1;cadre/profession libérale;Test
mauvais;négligeable;24;aucun prêt antérieur;création d'entreprise;15 859,20 €;pas d'épargne;1-5 ans;25-35;célibataire;Homme;5-8 ans;assurance vie;27;banques concurrentes;locataire;02-avr;cadre/profession libérale;Test
bon;>300€;15;remboursement intégral;véhicule d'occasion;4 680,20 €;pas d'épargne;1-5 ans;< 15;célibataire;Homme;1-5 ans;propriétaire d'un logement/terrain;26;pas d'autres prêts en cours;propriétaire;1;salarié expérimenté;Apprentissage
bon;négligeable;12;aucun prêt antérieur;mobilier;1 544,20 €;pas d'épargne;5-8 ans;< 15;célibataire;Homme;5-8 ans;aucun actif;27;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Apprentissage
bon;>300€;21;aucun prêt antérieur;véhicule neuf;7 347,20 €;>1400;1-5 ans;> 35;célibataire;Homme;5-8 ans;assurance vie;24;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
bon;pas de compte courant;9;remboursement intégral;électroménager;1 803,20 €;<140;> 8 ans;15- 25;célibataire;Homme;>8 ans;aucun actif;46;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Test
bon;pas de compte courant;21;remboursement intégral;autre;2 242,80 €;pas d'épargne;> 8 ans;< 15;marié/veuf;Homme;5-8 ans;assurance vie;28;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Apprentissage
mauvais;pas de compte courant;18;comptes courants à problèmes;véhicule d'occasion;2 174,20 €;pas d'épargne;1-5 ans;< 15;célibataire;Homme;5-8 ans;assurance vie;42;banques concurrentes;locataire;1;salarié expérimenté;Apprentissage
mauvais;négligeable;15;aucun prêt antérieur;autre;3 683,40 €;<140;1-5 ans;25-35;divorcé/séparé/marié;Femme;>8 ans;assurance vie;26;pas d'autres prêts en cours;à titre gracieux;02-avr;salarié expérimenté;Test
bon;>300€;36;aucun prêt antérieur;réparations;12 677,00 €;>1400;1-5 ans;25-35;célibataire;Homme;>8 ans;propriétaire d'un logement/terrain;33;pas d'autres prêts en cours;propriétaire;1;sans expérience avec domicile fixe;Apprentissage
bon;négligeable;18;aucun prêt antérieur;réorientation professionnelle;2 678,20 €;700-1400;<1 an;15- 25;marié/veuf;Homme;5-8 ans;aucun actif;34;banques concurrentes;locataire;1;salarié expérimenté;Apprentissage
bon;>300€;21;aucun problème avec les prêts antérieurs;véhicule neuf;4 190,20 €;pas d'épargne;1-5 ans;15- 25;célibataire;Homme;1-5 ans;aucun actif;26;grand magasin;locataire;02-avr;sans expérience avec domicile fixe;Apprentissage
bon;<= 300€;42;délicat;réorientation professionnelle;8 804,60 €;pas d'épargne;<1 an;25-35;divorcé/séparé;Homme;< 1 an;véhicule;31;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Apprentissage
mauvais;pas de compte courant;24;aucun prêt antérieur;autre;1 281,00 €;>1400;> 8 ans;< 15;divorcé/séparé/marié;Femme;1-5 ans;assurance vie;27;banques concurrentes;locataire;1;salarié expérimenté;Apprentissage
mauvais;<= 300€;18;aucun prêt antérieur;mobilier;2 940,00 €;pas d'épargne;1-5 ans;< 15;célibataire;Homme;1-5 ans;aucun actif;35;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
bon;>300€;36;remboursement intégral;véhicule neuf;8 178,80 €;pas d'épargne;> 8 ans;25-35;célibataire;Homme;1-5 ans;véhicule;33;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Apprentissage
bon;négligeable;18;remboursement intégral;véhicule d'occasion;8 905,40 €;pas d'épargne;> 8 ans;25-35;célibataire;Homme;< 1 an;propriétaire d'un logement/terrain;39;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Test
bon;pas de compte courant;21;aucun prêt antérieur;mobilier;4 699,80 €;700-1400;<1 an;< 15;divorcé/séparé/marié;Femme;1-5 ans;assurance vie;27;banques concurrentes;locataire;1;salarié expérimenté;Apprentissage
bon;négligeable;24;aucun prêt antérieur;mobilier;4 054,40 €;<140;<1 an;25-35;célibataire;Homme;< 1 an;assurance vie;27;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Test
bon;pas de compte courant;18;aucun prêt antérieur;autre;3 148,60 €;<140;5-8 ans;< 15;célibataire;Homme;5-8 ans;assurance vie;28;pas d'autres prêts en cours;locataire;1;cadre/profession libérale;Apprentissage
mauvais;pas de compte courant;24;comptes courants à problèmes;création d'entreprise;1 901,20 €;>1400;> 8 ans;< 15;célibataire;Homme;5-8 ans;assurance vie;38;grand magasin;locataire;1;cadre/profession libérale;Apprentissage
bon;négligeable;6;aucun prêt antérieur;mobilier;515,20 €;>1400;> 8 ans;< 15;célibataire;Homme;>8 ans;véhicule;36;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Test
bon;<= 300€;24;aucun prêt antérieur;véhicule d'occasion;4 048,80 €;pas d'épargne;> 8 ans;15- 25;divorcé/séparé;Homme;>8 ans;propriétaire d'un logement/terrain;49;pas d'autres prêts en cours;propriétaire;1;salarié expérimenté;Apprentissage
bon;pas de compte courant;18;aucun prêt antérieur;mobilier;4 912,60 €;pas d'épargne;5-8 ans;< 15;divorcé/séparé/marié;Femme;< 1 an;aucun actif;23;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Test
bon;pas de compte courant;12;aucun prêt antérieur;véhicule d'occasion;2 268,00 €;pas d'épargne;1-5 ans;25-35;divorcé/séparé/marié;Femme;5-8 ans;véhicule;28;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
mauvais;pas de compte courant;12;comptes courants à problèmes;autre;975,80 €;pas d'épargne;<1 an;< 15;célibataire;Homme;1-5 ans;assurance vie;44;banques concurrentes;locataire;02-avr;salarié expérimenté;Apprentissage
bon;>300€;24;aucun prêt antérieur;autre;2 063,60 €;<140;<1 an;< 15;marié/veuf;Homme;5-8 ans;aucun actif;31;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
bon;<= 300€;15;remboursement intégral;véhicule neuf;3 304,00 €;140-700;1-5 ans;25-35;célibataire;Homme;1-5 ans;assurance vie;34;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Test
bon;négligeable;9;aucun prêt antérieur;véhicule d'occasion;2 842,00 €;>1400;5-8 ans;25-35;célibataire;Homme;< 1 an;assurance vie;22;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
bon;pas de compte courant;6;remboursement intégral;autre;1 905,40 €;pas d'épargne;<1 an;25-35;célibataire;Homme;>8 ans;aucun actif;38;pas d'autres prêts en cours;locataire;1;sans expérience avec domicile fixe;Apprentissage
mauvais;pas de compte courant;45;délicat;réorientation professionnelle;16 542,40 €;pas d'épargne;> 8 ans;25-35;célibataire;Homme;>8 ans;assurance vie;27;pas d'autres prêts en cours;à titre gracieux;02-avr;salarié expérimenté;Apprentissage
bon;<= 300€;10;remboursement intégral;autre;1 093,40 €;pas d'épargne;> 8 ans;< 15;célibataire;Homme;>8 ans;propriétaire d'un logement/terrain;61;pas d'autres prêts en cours;propriétaire;02-avr;salarié expérimenté;Apprentissage
mauvais;pas de compte courant;9;aucun prêt antérieur;autre;915,60 €;pas d'épargne;1-5 ans;< 15;célibataire;Homme;5-8 ans;assurance vie;26;pas d'autres prêts en cours;locataire;1;sans expérience avec domicile fixe;Test
bon;négligeable;12;aucun prêt antérieur;véhicule d'occasion;4 223,80 €;pas d'épargne;<1 an;15- 25;divorcé/séparé/marié;Femme;< 1 an;aucun actif;32;pas d'autres prêts en cours;à titre gracieux;1;cadre/profession libérale;Apprentissage
bon;>300€;12;aucun prêt antérieur;mobilier;1 240,40 €;>1400;1-5 ans;< 15;divorcé/séparé/marié;Femme;1-5 ans;assurance vie;19;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Test
bon;négligeable;24;aucun prêt antérieur;mobilier;5 261,20 €;140-700;sans emploi;> 35;divorcé/séparé/marié;Femme;>8 ans;propriétaire d'un logement/terrain;21;pas d'autres prêts en cours;à titre gracieux;1;sans expérience et sans domicile fixe;Apprentissage
bon;>300€;15;aucun prêt antérieur;mobilier;1 940,40 €;>1400;1-5 ans;< 15;marié/veuf;Homme;1-5 ans;aucun actif;38;pas d'autres prêts en cours;à titre gracieux;1;salarié expérimenté;Apprentissage
bon;<= 300€;15;aucun prêt antérieur;réparations;2 667,00 €;pas d'épargne;> 8 ans;< 15;célibataire;Homme;>8 ans;assurance vie;38;pas d'autres prêts en cours;à titre gracieux;1;cadre/profession libérale;Test
bon;>300€;15;remboursement intégral;véhicule neuf;4 715,20 €;700-1400;> 8 ans;15- 25;célibataire;Homme;>8 ans;propriétaire d'un logement/terrain;21;pas d'autres prêts en cours;à titre gracieux;02-avr;salarié expérimenté;Apprentissage
bon;>300€;21;aucun prêt antérieur;mobilier;4 424,00 €;>1400;> 8 ans;< 15;célibataire;Homme;5-8 ans;véhicule;39;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
bon;pas de compte courant;24;remboursement intégral;réorientation professionnelle;1 934,80 €;<140;5-8 ans;< 15;célibataire;Homme;< 1 an;aucun actif;24;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Apprentissage
mauvais;>300€;24;aucun prêt antérieur;mobilier;8 320,20 €;>1400;<1 an;> 35;divorcé/séparé/marié;Femme;< 1 an;assurance vie;42;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Apprentissage
bon;négligeable;24;aucun prêt antérieur;véhicule neuf;3 864,00 €;>1400;> 8 ans;< 15;célibataire;Homme;>8 ans;propriétaire d'un logement/terrain;34;banques concurrentes;propriétaire;1;salarié expérimenté;Test
bon;>300€;24;aucun prêt antérieur;vacances;1 311,80 €;pas d'épargne;<1 an;< 15;marié/veuf;Homme;5-8 ans;assurance vie;25;pas d'autres prêts en cours;locataire;02-avr;sans expérience avec domicile fixe;Test
bon;>300€;30;aucun prêt antérieur;mobilier;2 613,80 €;>1400;> 8 ans;< 15;célibataire;Homme;>8 ans;assurance vie;56;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
mauvais;pas de compte courant;18;aucun prêt antérieur;véhicule d'occasion;5 814,20 €;pas d'épargne;1-5 ans;25-35;célibataire;Homme;5-8 ans;assurance vie;40;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Test
bon;>300€;12;remboursement intégral;mobilier;2 707,60 €;pas d'épargne;> 8 ans;25-35;célibataire;Homme;1-5 ans;propriétaire d'un logement/terrain;24;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Apprentissage
bon;négligeable;24;aucun problème avec les prêts antérieurs;véhicule d'occasion;3 266,20 €;>1400;<1 an;< 15;célibataire;Homme;1-5 ans;véhicule;27;banques concurrentes;locataire;1;sans expérience avec domicile fixe;Apprentissage
bon;>300€;12;remboursement intégral;véhicule d'occasion;2 709,00 €;pas d'épargne;> 8 ans;< 15;célibataire;Homme;>8 ans;aucun actif;41;pas d'autres prêts en cours;locataire;05-juin;salarié expérimenté;Test
mauvais;>300€;48;remboursement intégral;autre;14 177,80 €;140-700;1-5 ans;25-35;célibataire;Homme;1-5 ans;propriétaire d'un logement/terrain;42;pas d'autres prêts en cours;propriétaire;1;salarié expérimenté;Test
bon;<= 300€;12;aucun prêt antérieur;mobilier;1 815,80 €;pas d'épargne;1-5 ans;15- 25;marié/veuf;Homme;>8 ans;aucun actif;21;pas d'autres prêts en cours;à titre gracieux;1;salarié expérimenté;Apprentissage
bon;>300€;15;remboursement intégral;autre;7 063,00 €;>1400;> 8 ans;> 35;divorcé/séparé/marié;Femme;>8 ans;assurance vie;57;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
bon;pas de compte courant;24;comptes courants à problèmes;autre;3 255,00 €;<140;5-8 ans;25-35;célibataire;Homme;5-8 ans;assurance vie;30;banques concurrentes;locataire;1;salarié expérimenté;Test
mauvais;pas de compte courant;12;délicat;mobilier;8 678,60 €;pas d'épargne;1-5 ans;< 15;célibataire;Homme;1-5 ans;véhicule;26;pas d'autres prêts en cours;à titre gracieux;02-avr;salarié expérimenté;Test
bon;pas de compte courant;21;aucun prêt antérieur;mobilier;3 648,40 €;pas d'épargne;<1 an;< 15;divorcé/séparé/marié;Femme;>8 ans;véhicule;26;pas d'autres prêts en cours;à titre gracieux;1;cadre/profession libérale;Apprentissage
bon;>300€;10;remboursement intégral;véhicule d'occasion;2 896,60 €;>1400;1-5 ans;25-35;marié/veuf;Homme;< 1 an;assurance vie;24;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Test
bon;pas de compte courant;12;aucun prêt antérieur;mobilier;2 352,00 €;140-700;> 8 ans;15- 25;marié/veuf;Homme;< 1 an;aucun actif;33;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Test
bon;négligeable;6;remboursement intégral;vacances;1 304,80 €;>1400;5-8 ans;> 35;divorcé/séparé/marié;Femme;5-8 ans;véhicule;37;pas d'autres prêts en cours;locataire;02-avr;sans expérience avec domicile fixe;Test
bon;>300€;10;aucun prêt antérieur;réparations;1 017,80 €;140-700;> 8 ans;< 15;célibataire;Homme;>8 ans;propriétaire d'un logement/terrain;44;pas d'autres prêts en cours;propriétaire;1;salarié expérimenté;Test
bon;pas de compte courant;6;remboursement intégral;autre;932,40 €;700-1400;5-8 ans;15- 25;divorcé/séparé/marié;Femme;>8 ans;aucun actif;37;pas d'autres prêts en cours;locataire;02-avr;sans expérience avec domicile fixe;Apprentissage
bon;négligeable;48;aucun prêt antérieur;mobilier;5 570,60 €;>1400;5-8 ans;< 15;célibataire;Homme;< 1 an;assurance vie;39;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Test
bon;>300€;24;aucun prêt antérieur;véhicule neuf;7 606,20 €;>1400;sans emploi;25-35;divorcé/séparé/marié;Femme;>8 ans;véhicule;24;pas d'autres prêts en cours;à titre gracieux;1;cadre/profession libérale;Apprentissage
mauvais;>300€;36;aucun prêt antérieur;véhicule d'occasion;4 688,60 €;pas d'épargne;1-5 ans;< 15;divorcé/séparé/marié;Femme;1-5 ans;assurance vie;26;pas d'autres prêts en cours;locataire;1;cadre/profession libérale;Test
mauvais;pas de compte courant;48;remboursement intégral;véhicule neuf;8 863,40 €;pas d'épargne;> 8 ans;< 15;célibataire;Homme;>8 ans;propriétaire d'un logement/terrain;44;pas d'autres prêts en cours;propriétaire;02-avr;salarié expérimenté;Apprentissage
bon;négligeable;36;remboursement intégral;mobilier;3 271,80 €;pas d'épargne;> 8 ans;< 15;célibataire;Homme;>8 ans;aucun actif;34;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
bon;>300€;18;aucun prêt antérieur;mobilier;2 107,00 €;pas d'épargne;1-5 ans;< 15;célibataire;Homme;1-5 ans;propriétaire d'un logement/terrain;30;pas d'autres prêts en cours;propriétaire;1;cadre/profession libérale;Apprentissage
bon;pas de compte courant;18;aucun prêt antérieur;mobilier;3 344,60 €;pas d'épargne;<1 an;< 15;divorcé/séparé/marié;Femme;< 1 an;assurance vie;25;grand magasin;locataire;1;salarié expérimenté;Test
bon;pas de compte courant;12;aucun prêt antérieur;véhicule d'occasion;1 766,80 €;>1400;> 8 ans;25-35;divorcé/séparé;Homme;>8 ans;véhicule;47;pas d'autres prêts en cours;locataire;1;sans expérience avec domicile fixe;Test
bon;>300€;36;aucun problème avec les prêts antérieurs;véhicule d'occasion;10 749,20 €;140-700;5-8 ans;25-35;divorcé/séparé/marié;Femme;>8 ans;assurance vie;38;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Test
bon;>300€;12;aucun prêt antérieur;réparations;1 950,20 €;pas d'épargne;> 8 ans;< 15;célibataire;Homme;>8 ans;véhicule;45;banques concurrentes;locataire;05-juin;salarié expérimenté;Test
bon;>300€;24;aucun prêt antérieur;mobilier;2 661,40 €;<140;1-5 ans;< 15;célibataire;Homme;>8 ans;assurance vie;27;pas d'autres prêts en cours;à titre gracieux;1;cadre/profession libérale;Apprentissage
mauvais;pas de compte courant;30;aucun prêt antérieur;véhicule d'occasion;3 368,40 €;pas d'épargne;5-8 ans;< 15;divorcé/séparé/marié;Femme;>8 ans;aucun actif;21;pas d'autres prêts en cours;à titre gracieux;1;salarié expérimenté;Test
bon;>300€;18;remboursement intégral;mobilier;3 365,60 €;pas d'épargne;1-5 ans;25-35;divorcé/séparé/marié;Femme;1-5 ans;assurance vie;24;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Test
mauvais;négligeable;24;délicat;réorientation professionnelle;5 937,40 €;pas d'épargne;1-5 ans;> 35;célibataire;Homme;>8 ans;aucun actif;34;pas d'autres prêts en cours;locataire;05-juin;sans expérience avec domicile fixe;Apprentissage
bon;>300€;30;aucun prêt antérieur;véhicule neuf;6 735,40 €;>1400;5-8 ans;25-35;divorcé/séparé/marié;Femme;>8 ans;véhicule;22;grand magasin;à titre gracieux;1;sans expérience avec domicile fixe;Apprentissage
bon;>300€;18;aucun problème avec les prêts antérieurs;mobilier;3 248,00 €;pas d'épargne;sans emploi;25-35;marié/veuf;Homme;5-8 ans;aucun actif;32;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Test
bon;>300€;18;aucun prêt antérieur;véhicule neuf;4 729,20 €;>1400;1-5 ans;25-35;célibataire;Homme;< 1 an;véhicule;29;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Test
mauvais;pas de compte courant;12;remboursement intégral;véhicule d'occasion;3 144,40 €;pas d'épargne;> 8 ans;15- 25;célibataire;Homme;5-8 ans;véhicule;58;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Apprentissage
mauvais;>300€;36;remboursement intégral;véhicule d'occasion;9 977,80 €;pas d'épargne;<1 an;25-35;divorcé/séparé/marié;Femme;>8 ans;véhicule;21;pas d'autres prêts en cours;à titre gracieux;02-avr;salarié expérimenté;Apprentissage
bon;>300€;15;aucun prêt antérieur;véhicule d'occasion;3 109,40 €;140-700;1-5 ans;25-35;divorcé/séparé/marié;Femme;>8 ans;assurance vie;18;pas d'autres prêts en cours;à titre gracieux;1;salarié expérimenté;Apprentissage
mauvais;<= 300€;12;comptes courants à problèmes;réorientation professionnelle;852,60 €;pas d'épargne;<1 an;< 15;divorcé/séparé/marié;Femme;< 1 an;aucun actif;24;banques concurrentes;locataire;1;sans expérience et sans domicile fixe;Apprentissage
bon;>300€;48;remboursement intégral;réorientation professionnelle;10 680,60 €;>1400;> 8 ans;< 15;divorcé/séparé;Homme;1-5 ans;assurance vie;44;banques concurrentes;locataire;02-avr;cadre/profession libérale;Apprentissage
bon;pas de compte courant;15;remboursement intégral;véhicule d'occasion;2 069,20 €;pas d'épargne;> 8 ans;< 15;célibataire;Homme;>8 ans;assurance vie;42;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Test
bon;>300€;12;remboursement intégral;réorientation professionnelle;1 976,80 €;pas d'épargne;1-5 ans;< 15;divorcé/séparé/marié;Femme;1-5 ans;aucun actif;27;pas d'autres prêts en cours;locataire;02-avr;cadre/profession libérale;Apprentissage
bon;>300€;12;remboursement intégral;mobilier;1 736,00 €;>1400;> 8 ans;< 15;divorcé/séparé/marié;Femme;1-5 ans;aucun actif;36;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Test
bon;>300€;24;aucun prêt antérieur;véhicule neuf;12 987,80 €;>1400;1-5 ans;25-35;divorcé/séparé;Homme;>8 ans;propriétaire d'un logement/terrain;46;pas d'autres prêts en cours;propriétaire;1;salarié expérimenté;Apprentissage
bon;>300€;27;aucun problème avec les prêts antérieurs;réorientation professionnelle;7 163,80 €;pas d'épargne;5-8 ans;15- 25;célibataire;Homme;>8 ans;assurance vie;24;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Apprentissage
